Year,Month,tMax,tMin,Air Frost,Rainfall,Sun hours
1997,8,20.4,12.7,0.0,50.3,80.0
1997,9,15.6,9.2,0.0,167.7,18.0
1997,10,12.8,7.0,0.0,109.1,4.0
1997,11,,,,89.4,28.0
1997,12,8.9,3.8,4.0,,32.0
1998,1,8.0,2.6,6.0,,29.0
1998,2,9.9,6.3,0.0,,27.0
1998,3,9.6,4.5,5.0,109.0,54.0
1998,4,10.5,4.3,2.0,,50.0
1998,5,14.9,8.0,0.0,,56.0
1998,6,16.1,8.7,0.0,148.9,67.0
1998,7,16.6,11.2,0.0,188.0,11.0
1998,8,16.8,11.4,0.0,,8.0
1998,9,17.3,10.7,0.0,98.9,0.0
1998,10,12.1,6.6,0.0,253.7,4.0
1998,11,9.7,4.2,2.0,,59.0
1998,12,9.5,4.0,5.0,237.5,27.0
1999,1,7.4,2.7,4.0,282.2,32.0
1999,2,7.5,2.7,2.0,152.9,61.0
1999,3,9.4,3.8,2.0,159.3,96.0
1999,4,12.1,5.7,1.0,114.9,37.0
1999,5,15.2,8.0,0.0,,58.0
1999,6,15.8,8.7,0.0,132.7,31.0
1999,7,18.4,11.5,0.0,94.1,66.0
1999,8,19.1,10.9,0.0,88.8,50.0
1999,9,17.3,11.1,0.0,225.7,83.0
1999,10,13.5,8.8,0.0,146.0,66.0
1999,11,10.2,4.5,3.0,251.3,46.0
1999,12,7.2,2.0,5.0,304.4,32.0
2000,1,8.3,3.2,6.0,245.4,49.0
2000,2,8.4,3.3,1.0,242.4,46.0
2000,3,9.8,4.7,3.0,106.8,75.0
2000,4,11.3,3.8,4.0,31.8,36.0
2000,5,16.7,6.7,0.0,50.0,70.0
2000,6,16.4,9.6,0.0,92.2,42.0
2000,7,19.3,10.7,0.0,61.8,51.0
2000,8,19.1,11.5,0.0,107.0,53.0
2000,9,16.5,10.9,0.0,195.4,87.0
2000,10,12.9,7.8,0.0,284.6,76.0
2000,11,9.4,4.6,1.0,136.0,48.0
2000,12,8.0,3.0,10.0,191.2,38.0
2001,1,6.5,0.6,13.0,145.0,62.0
2001,2,7.3,2.0,6.0,64.6,82.0
2001,3,9.4,2.5,10.0,73.6,21.0
2001,4,12.0,4.9,1.0,57.8,30.0
2001,5,16.6,7.7,0.0,37.4,24.0
2001,6,15.7,9.0,0.0,124.0,18.0
2001,7,17.6,11.4,0.0,123.0,16.0
2001,8,17.9,11.4,0.0,163.6,36.0
2001,9,16.1,9.7,0.0,107.2,99.0
2001,10,14.9,10.3,0.0,244.8,50.0
2001,11,10.9,5.7,3.0,167.8,29.0
2001,12,8.2,1.9,8.0,92.4,59.0
2002,1,9.5,5.1,2.0,239.7,
2002,2,8.6,3.5,1.0,213.8,
2002,3,10.4,4.4,2.0,128.4,
2002,4,12.3,5.7,2.0,103.2,
2002,5,15.2,7.7,0.0,109.6,
2002,6,16.3,10.7,0.0,170.6,
2002,7,16.9,10.8,0.0,123.8,
2002,8,18.8,12.0,0.0,94.4,
2002,9,17.4,10.0,0.0,62.6,
2002,10,11.8,6.3,2.0,127.4,
2002,11,10.5,6.6,1.0,153.2,
2002,12,7.9,3.6,7.0,42.0,
2003,1,7.6,2.2,10.0,156.6,
2003,2,8.1,2.2,8.0,57.0,
2003,3,11.4,3.8,2.0,99.2,
2003,4,14.4,6.1,1.0,32.2,
2003,5,13.9,7.7,0.0,152.0,
2003,6,17.6,11.0,0.0,111.2,
2003,7,19.8,12.7,0.0,91.8,
2003,8,20.0,11.7,0.0,48.4,
2003,9,16.5,9.5,0.0,98.0,
2003,10,12.4,5.7,2.0,69.4,
2003,11,,,,,
2003,12,8.2,2.4,9.0,162.0,
2004,1,7.9,3.1,5.0,230.0,
2004,2,8.2,1.8,11.0,95.2,
2004,3,9.8,3.5,4.0,133.8,
2004,4,12.1,6.2,0.0,131.6,
2004,5,,,,70.8,
2004,6,16.0,10.1,0.0,144.9,
2004,7,17.6,10.7,0.0,92.6,
2004,8,19.6,12.6,0.0,182.4,
2004,9,,,,213.0,
2004,10,,,,,
2004,11,10.4,6.3,2.0,107.4,
2004,12,9.3,3.9,3.0,255.8,
2005,1,,,,242.6,
2005,2,7.5,2.5,7.0,117.2,
2005,3,10.4,4.4,2.0,123.6,
2005,4,11.8,5.6,0.0,99.2,
2005,5,13.6,6.0,1.0,94.6,
2005,6,16.9,10.1,0.0,133.7,
2005,7,18.0,10.9,0.0,48.0,
2005,8,17.7,10.9,0.0,175.4,
2005,9,16.4,11.1,0.0,175.7,
2005,10,,,,,
2005,11,9.6,4.3,4.0,162.6,
2005,12,8.1,3.2,8.0,101.6,
2006,1,7.6,2.7,7.0,129.8,
2006,2,7.9,1.8,12.0,112.0,
2006,3,7.9,1.9,10.0,77.8,
2006,4,10.8,3.5,2.0,119.2,
2006,5,14.8,7.1,0.0,142.6,
2006,6,17.5,10.0,0.0,92.4,
2006,7,20.4,12.3,0.0,95.8,
2006,8,17.6,11.2,0.0,108.8,
2006,9,17.6,11.6,0.0,205.2,
2006,10,14.5,9.1,0.0,,
2006,11,10.4,5.6,0.0,277.8,
2006,12,8.6,4.6,1.0,347.2,
2007,1,8.9,4.1,3.0,285.8,
2007,2,8.4,3.7,4.0,113.8,
2007,3,10.2,3.6,3.0,157.2,
2007,4,14.1,6.4,1.0,66.4,
2007,5,14.0,6.7,0.0,121.8,
2007,6,17.5,10.5,0.0,101.0,
2007,7,17.3,11.0,0.0,89.2,
2007,8,16.8,10.9,0.0,139.0,
2007,9,14.8,9.8,0.0,110.0,
2007,10,14.0,8.4,0.0,165.9,
2007,11,10.6,5.8,3.0,170.0,
2007,12,8.6,3.2,5.0,152.0,
2008,1,,,,,
2008,2,,,,,
2008,3,,,,150.1,
2008,4,11.0,3.6,4.0,88.0,
2008,5,17.5,8.7,0.0,26.0,
2008,6,16.1,9.0,0.0,,
2008,7,18.5,12.4,0.0,79.6,
2008,8,17.7,12.1,0.0,113.8,
2008,9,15.6,10.1,0.0,109.2,
2008,10,12.1,6.5,1.0,281.6,
2008,11,9.5,4.7,1.0,152.6,
2008,12,7.2,1.5,13.0,166.8,
2009,1,7.3,2.2,5.0,198.0,
2009,2,7.2,2.7,9.0,65.2,
2009,3,9.5,3.6,3.0,155.8,
2009,4,13.2,6.4,0.0,110.6,
2009,5,14.5,7.2,0.0,174.6,
2009,6,18.2,9.7,0.0,71.8,
2009,7,18.5,11.9,0.0,124.2,
2009,8,17.4,12.1,0.0,228.2,
2009,9,15.9,10.8,0.0,121.6,
2009,10,13.6,8.4,0.0,166.0,
2009,11,10.0,5.1,2.0,269.6,
2009,12,5.5,0.2,16.0,58.8,
2010,1,5.3,-0.1,15.0,64.4,
2010,2,5.7,-0.5,15.0,44.8,
2010,3,9.1,2.4,9.0,68.4,
2010,4,12.3,4.5,2.0,109.0,
2010,5,14.2,6.0,1.0,43.0,
2010,6,18.4,10.4,0.0,29.8,
2010,7,17.2,11.8,0.0,177.2,
2010,8,17.1,10.4,0.0,118.0,
2010,9,16.3,10.1,0.0,125.8,
2010,10,13.5,7.3,1.0,164.6,
2010,11,7.9,2.2,9.0,125.0,
2010,12,4.2,-2.1,22.0,33.8,
2011,1,6.6,1.6,9.0,164.6,
2011,2,8.1,3.0,3.0,212.4,
2011,3,9.4,3.4,2.0,90.0,
2011,4,14.5,6.8,0.0,106.0,
2011,5,13.7,8.0,0.0,254.4,
2011,6,15.4,8.7,0.0,84.8,
2011,7,18.5,10.4,0.0,85.0,
2011,8,16.6,10.6,0.0,149.6,
2011,9,16.1,10.8,0.0,254.4,
2011,10,13.5,9.2,0.0,303.2,
2011,11,12.4,7.2,0.0,244.6,
2011,12,8.1,2.7,3.0,417.8,
2012,1,7.7,3.1,1.0,203.6,
2012,2,8.3,4.4,2.0,171.4,
2012,3,11.7,5.6,1.0,73.4,
2012,4,11.1,2.9,5.0,59.8,
2012,5,15.8,6.5,2.0,96.4,
2012,6,16.3,9.1,0.0,117.2,
2012,7,17.5,10.7,0.0,107.8,
2012,8,18.8,11.5,0.0,112.2,
2012,9,14.5,9.5,0.0,142.0,
2012,10,11.6,4.6,3.0,180.8,
2012,11,9.1,4.1,4.0,217.0,
2012,12,7.4,2.4,8.0,207.5,
2013,1,7.1,3.5,0.0,201.2,
2013,2,7.4,1.5,8.0,70.6,
2013,3,6.7,1.2,8.0,22.6,
2013,4,10.0,3.2,6.0,119.0,
2013,5,13.5,6.5,0.0,123.8,
2013,6,16.6,9.1,0.0,53.8,
2013,7,20.3,12.0,0.0,55.8,
2013,8,17.7,11.8,0.0,125.6,
2013,9,15.9,9.9,0.0,129.4,
2013,10,13.9,8.8,0.0,201.4,
2013,11,9.1,3.3,4.0,173.4,
2013,12,9.5,5.2,0.0,330.5,
2014,1,7.4,3.6,0.0,217.1,
2014,2,8.0,3.6,0.0,228.0,
2014,3,9.7,4.6,2.0,167.0,
2014,4,13.3,6.6,0.0,105.4,
2014,5,15.0,8.2,0.0,159.8,
2014,6,17.8,10.7,0.0,51.6,
2014,7,19.8,11.9,0.0,116.8,
2014,8,17.3,10.6,0.0,142.4,
2014,9,17.7,10.5,0.0,39.2,
2014,10,13.8,7.9,0.0,307.8,
2014,11,11.4,5.7,0.0,129.6,
2014,12,8.1,2.8,3.0,271.2,
2015,1,7.0,2.1,5.0,306.4,
2015,2,7.3,1.3,11.0,144.6,
2015,3,9.3,2.6,3.0,220.2,
2015,4,11.9,3.0,2.0,105.2,
2015,5,12.4,5.9,2.0,179.4,
2015,6,15.3,8.4,0.0,115.8,
2015,7,17.0,10.2,0.0,127.2,
2015,8,17.8,11.1,0.0,122.0,
2015,9,16.5,9.5,0.0,38.6,
2015,10,14.2,8.0,0.0,87.0,
2015,11,10.7,5.9,1.0,255.8,
2015,12,10.1,4.9,2.0,342.6,
2016,1,7.6,3.3,2.0,265.7,
2016,2,7.3,1.6,8.0,185.6,
2016,3,9.8,3.0,4.0,107.6,
2016,4,10.8,3.5,2.0,93.2,
2016,5,16.5,7.2,1.0,97.8,
2016,6,18.7,10.7,0.0,64.8,
2016,7,17.2,11.5,0.0,155.2,
2016,8,18.6,11.9,0.0,164.0,
2016,9,17.2,11.4,0.0,229.8,
2016,10,14.0,7.5,0.0,66.2,
2016,11,8.5,2.7,9.0,128.2,
2016,12,10.3,5.6,1.0,179.0,
2017,1,8.2,3.5,2.0,111.4,
2017,2,8.4,3.8,3.0,168.0,
2017,3,10.8,4.2,4.0,146.4,
2017,4,11.2,5.8,0.0,67.8,
2017,5,17.1,7.8,0.0,45.2,
2017,6,16.1,10.5,0.0,138.4,
2017,7,18.2,10.8,0.0,122.4,
2017,8,18.1,11.4,0.0,150.4,
2017,9,16.4,10.2,0.0,157.6,
2017,10,14.0,8.9,0.0,234.6,
2017,11,9.2,4.1,1.0,146.2,
2017,12,7.9,2.6,6.0,172.4,
2018,1,7.0,2.0,8.0,213.8,
2018,2,6.6,1.0,9.0,144.0,
2018,3,7.4,1.6,7.0,93.4,
2018,4,12.0,5.4,1.0,93.0,
2018,5,17.0,8.0,0.0,73.0,
2018,6,20.1,10.2,0.0,72.2,
2018,7,20.4,11.8,0.0,87.7,
2018,8,17.4,11.2,0.0,139.0,
2018,9,15.0,9.0,0.0,227.8,
2018,10,12.8,7.0,1.0,250.0,
2018,11,11.2,5.6,2.0,154.0,
2018,12,8.9,4.3,0.0,154.2,
2019,1,7.3,2.9,6.0,116.2,
2019,2,10.3,3.8,5.0,133.0,
2019,3,9.3,4.6,2.0,186.6,
2019,4,13.8,6.2,1.0,18.6,
2019,5,14.5,6.6,0.0,100.0,
2019,6,17.4,9.9,0.0,94.0,
2019,7,19.5,12.8,0.0,168.8,
2019,8,19.5,12.3,0.0,246.8,
2019,9,17.1,10.2,0.0,153.8,
2019,10,12.5,6.5,1.0,182.9,
2019,11,9.1,3.6,7.0,36.4,
2019,12,8.9,4.1,2.0,281.2,
2020,1,8.9,4.3,2.0,327.6,
2020,2,8.0,2.8,1.0,255.4,
2020,3,9.1,3.1,3.0,206.8,
2020,4,13.6,4.9,1.0,31.6,
2020,5,15.5,6.7,1.0,83.0,
2020,6,18.5,10.5,0.0,88.4,
2020,7,16.7,10.3,0.0,174.2,
2020,8,19.4,11.3,0.0,100.6,
2020,9,16.0,9.2,0.0,175.2,
2020,10,12.5,6.8,0.0,263.2,
2020,11,11.3,5.9,0.0,253.2,
2020,12,7.9,3.2,7.0,182.2,
2021,1,5.7,-0.0,17.0,144.0,
2021,2,7.6,3.0,7.0,113.2,
2021,3,9.6,3.9,1.0,228.6,
2021,4,11.6,2.0,8.0,25.0,
2021,5,13.9,5.6,0.0,43.4,
2021,6,17.7,9.7,0.0,90.6,
2021,7,21.3,12.5,0.0,38.4,
2021,8,20.2,11.3,0.0,72.6,
2021,9,17.9,11.5,0.0,145.4,
2021,10,13.9,8.8,0.0,317.4,
2021,11,10.9,6.3,2.0,147.6,
2021,12,8.1,3.4,4.0,146.8,
2022,1,8.9,4.8,0.0,152.8,
2022,2,8.6,3.5,1.0,249.2,
2022,3,11.7,3.1,3.0,59.4,
2022,4,13.1,5.0,2.0,75.8,
2022,5,14.8,9.0,0.0,143.2,
2022,6,17.8,10.0,0.0,110.2,
2022,7,18.6,12.1,0.0,101.4,
2022,8,19.3,11.6,0.0,92.8,
2022,9,17.8,10.7,0.0,108.8,
2022,10,14.3,9.6,0.0,240.4,
2022,11,11.6,7.0,1.0,233.4,
2022,12,7.2,1.6,12.0,99.6,
2023,1,8.0,3.1,7.0,195.4,
2023,2,9.6,4.7,3.0,116.6,
2023,3,9.4,2.8,9.0,142.2,
2023,4,12.8,5.2,1.0,71.4,
2023,5,16.1,8.8,0.0,26.2,
2023,6,21.5,11.6,0.0,98.0,
2023,7,18.3,11.8,0.0,124.8,
2023,8,19.0,12.2,0.0,129.4,
2023,9,18.2,11.3,0.0,215.2,
2023,10,13.3,8.5,0.0,220.4,
2023,11,9.5,4.3,6.0,98.6,
2023,12,8.6,3.6,7.0,214.6,
2024,1,7.6,1.5,11.0,178.6,
2024,2,8.8,4.3,3.0,204.4,
2024,3,10.2,4.6,0.0,86.6,
2024,4,12.5,5.4,0.0,117.4,
2024,5,17.9,10.2,0.0,49.6,
2024,6,16.2,9.3,0.0,108.4,
2024,7,17.5,10.7,0.0,78.8,
2024,8,16.9,11.7,0.0,254.3,
2024,9,17.0,8.7,0.0,63.8,
2024,10,14.0,8.3,0.0,157.6,
2024,11,10.3,5.6,4.0,92.2,
2024,12,9.2,4.8,3.0,287.4,
2025,1,7.5,2.7,6.0,91.0,
2025,2,8.6,3.5,4.0,144.0,
2025,3,11.3,4.7,4.0,109.6,
2025,4,15.0,6.0,0.0,39.0,
2025,5,17.6,7.1,0.0,94.8,
